16:43:36
country,customer total,customer out
,529,0
Sumter,102713,134
Franklin,35478,15
Union,37825,42
Wake,431725,8
Randolph,50691,0
Anderson,86424,24
Greenwood,25139,0
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,26
Edgecombe,1364,0
Fountain,3715,0
Gulf,7872,1
Williamsburg,6470,0
Highlands,54787,7204
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,0
Moore,42816,0
Jennings,5381,0
Seminole,211093,6781
Spartanburg,124775,1
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,6117,156
Harrison,4497,0
Cleveland,31559,0
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,4797,428
Haywood,23793,1
Alamance,74720,0
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,1
Polk,114764,5545
Ripley,7719,1
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,19179
Morgan,9380,0
Mitchell,5466,0
Pamlico,4070,0
Catawba,68932,0
Laurens,10047,0
Osceola,48854,1555
Leon,24519,33
Columbia,31192,307
Monroe,119951,51483
Chester,13976,0
Buncombe,132274,0
St. Johns,106680,2660
Georgetown,1708,0
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,0
Rutherford,27340,0
Lafayette,868,6
Macon,25310,0
Bartholomew,27576,0
Cabarrus,53193,0
Davie,13165,0
Orange,427308,3857
Switzerland,1082,0
Miami-dade,1124137,900255
Daviess,1526,0
Posey,1205,0
Cherokee,18147,2
Yancey,652,0
Hendricks,34543,0
Broward,939274,674932
Scotland,6016,0
Mecklenburg,448078,0
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,249113,4950
Palm Beach,742679,504413
Graham,6179,0
Jefferson,19791,6
Vance,20864,0
Holmes,5052,0
Mccormick,19,0
Iredell,49827,0
Campbell,40722,0
Decatur,7802,0
Martin,96358,40101
Rowan,63392,0
Carteret,25089,0
Wilson,1600,0
Johnston,68975,0
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5277,0
Oconee,10455,424
Lancaster,32192,0
Okaloosa,92569,136
Edgefield,999,0
Wayne,47553,0
Vigo,48482,0
Kershaw,5420,0
Madison,11700,0
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,0
Duplin,12170,0
Putnam,50536,1083
Hamilton,534152,2
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,0
Dixie,2733,362
Cass,2907,0
Desoto,16950,5190
Pinellas,541014,17008
Saluda,4,0
Sampson,17464,0
Grant,3562,0
Flagler,58357,148
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,187795
Marion,151521,3799
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,142
Shelby,13858,0
Wakulla,15461,708
Davidson,33863,0
Pitt,1997,0
Knox,15285,0
Taylor,6362,1
Alachua,120032,2879
Butler,125980,0
Rush,6244,0
Hernando,94931,232
Harnett,34555,1
Burke,21612,0
Calhoun,999,1
Baker,7860,61
Florence,52312,3
Clay,94812,17553
Nassau,21867,57
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,0
Caldwell,23308,0
Forsyth,175791,1
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,1
New Hanover,124924,0
Bay,104611,181
Hardee,3179,489
Caswell,9064,0
Pike,2429,0
Floyd,26087,0
Brunswick,14435,0
Sullivan,6465,0
Guilford,210369,1
Lake,149938,2359
Delaware,85,0
Abbeville,2003,0
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,191850
Mcdowell,18436,0
Henderson,63585,2
Pendleton,105,0
Manatee,188834,30557
Whitley,103,0
Escambia,152742,281
Fulton,5764,0
Fairfield,884,0
Hillsborough,14690,10041
Carroll,3782,0
Washington,12414,0
Miami,2654,0
Brevard,308923,17153
Pickens,25766,0
Volusia,261351,4200
Richmond,15249,0
St. Lucie,127029,35581
Indian River,56753,12446
Citrus,87665,1388
Durham,140456,12
Duval,441271,2054
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265314,58359
Levy,7609,252
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,17
Greenville,195678,8
Santa Rosa,68740,259
Okeechobee,20093,13522
Gadsden,14999,19
Newberry,1785,0
Jackson,42261,0
Walton,23162,16
Gaston,53643,0
Tippecanoe,57708,0
Hendry,9738,9738
