13:14:21
country,customer total,customer out
,529,529
Greenwood,25139,0
Lafayette,868,33
Clermont,90324,0
Orange,425695,1472
Florence,52312,0
Iredell,49827,0
Seminole,211093,219
Howard,41053,0
Kershaw,5420,1
Wake,431725,8
Wakulla,15461,691
Highlands,54787,1198
Warren,85652,0
Fairfield,884,0
Caswell,9064,0
Preble,273,0
Martin,96358,13069
Dixie,2733,0
Onslow,24750,0
Palm Beach,742679,313281
Franklin,35478,17
Lenoir,11476,0
Haywood,23793,0
Greenville,195678,156
Fountain,3715,0
Kenton,62170,1
Decatur,7802,0
Santa Rosa,68740,0
Graham,6179,0
Cleveland,31559,0
Cabarrus,53193,1
Gilchrist,4797,1299
Suwannee,6117,103
Anderson,86424,25
Osceola,48390,180
Washington,12412,48
Indian River,56753,2048
Caldwell,23308,0
Edgecombe,1364,0
Union,37825,54
Alexander,11887,0
Grant,3562,0
Lancaster,32192,0
Gibson,9007,0
Harrison,4497,0
Horry,1533,1
Gulf,7872,35
Hillsborough,7028,858
Saluda,4,0
Escambia,152742,1
Craven,18450,6
Wilson,1600,0
Hardee,2823,125
Clarendon,6194,1
Baker,7860,23
Delaware,85,0
Chatham,31535,0
Wells,205,0
Richmond,15249,0
Yadkin,14159,0
Williamsburg,6470,0
Mccormick,19,0
Rutherford,27340,0
Mitchell,5466,0
Johnston,68975,0
Harnett,34555,0
Morgan,9380,0
Brunswick,14435,0
Brevard,308909,9818
Clark,37941,0
Dubois,2,0
Pasco,247681,1836
Henry,11672,0
Miami-dade,1124137,849036
Flagler,58357,241
Whitley,103,0
Clay,94812,857
Sullivan,6465,0
Campbell,40722,0
Rush,6244,0
Bladen,8812,0
Holmes,5052,0
Durham,140456,1
Wabash,11366,0
Pike,2429,0
Switzerland,1082,0
Robeson,24105,13
Tipton,3501,0
Liberty,3302,0
Mecklenburg,448078,233
Hendricks,34543,0
Rockingham,45732,314
Darlington,20562,6
Vance,20864,0
Kosciusko,276,0
Pender,16998,0
Gaston,53643,0
Transylvania,15660,0
New Hanover,124924,124
Edgefield,999,0
Vigo,48482,0
Oconee,10455,429
Putnam,50536,1705
Warrick,1466,0
Scott,2804,0
Cumberland,31706,0
Lee,289895,113099
Wilkes,29159,0
Crawford,4481,0
Dillon,10339,0
Sarasota,265314,20226
Bradford,9842,36
St. Lucie,127029,15668
Montgomery,13047,0
Beaufort,4732,0
Taylor,6362,339
Glades,3354,142
Monroe,119951,51248
Gadsden,14999,2
Carteret,25089,0
Hoke,4929,0
Cherokee,18147,0
Surry,25245,0
Georgetown,1708,0
Pendleton,105,0
Huntington,10622,0
Manatee,187785,7204
Columbia,31192,47
Greene,7221,0
Duplin,12170,0
Fayette,9528,0
Hernando,94931,86
Davie,13165,0
Polk,111858,604
Lincoln,20700,0
Jefferson,19791,5
Pamlico,4070,0
Yancey,652,0
Avery,1215,0
Daviess,1526,0
Knox,15285,0
Fulton,5764,0
Anson,5486,0
Desoto,16790,1692
Carroll,3782,0
Chester,13976,0
Swain,11279,0
Volusia,261351,78
Chesterfield,10668,0
Stanly,10950,0
Parke,1275,0
Hancock,10609,1
Citrus,87665,1234
Bay,104611,390
Hamilton,534152,27
Granville,18148,2
Okaloosa,92569,59
Abbeville,2003,0
Nassau,21867,2803
Person,13358,0
Marlboro,4474,0
Halifax,2135,0
Marion,151521,4198
Highland,304,0
Nash,23348,0
Ripley,7719,0
Newberry,1785,0
Wayne,47553,0
Sampson,17464,0
Davidson,33863,0
Charlotte,114552,9590
Sumter,102713,124
Floyd,26087,0
Alachua,120032,1779
Walton,23162,8
Hendry,9738,4367
Columbus,16392,0
Alamance,74720,0
Burke,21612,0
Macon,25310,0
Duval,441271,4578
Vermillion,8251,0
Leon,24519,122
Brown,17762,0
Cass,2907,0
Moore,42816,0
Tippecanoe,57708,0
Calhoun,999,4
Lake,149938,820
Buncombe,132274,1
Clinton,6436,0
Owen,2868,0
Mcdowell,18436,0
Unknown,5277,6
Miami,2654,0
Jackson,42261,86
Butler,125980,1
Shelby,13858,0
Catawba,68932,0
York,34467,0
Pinellas,541014,1104
Levy,7609,276
Laurens,10047,0
Jennings,5381,0
Posey,1205,0
Okeechobee,20093,1702
Jones,1937,0
Dearborn,8521,149
Lawrence,16988,0
Guilford,210369,1
Henderson,63585,0
Rowan,63392,0
Pickens,25766,0
Benton,451,0
Johnson,36665,0
Collier,212167,137284
Spartanburg,124775,1
St. Johns,106680,4984
Forsyth,175791,0
Madison,11700,0
Broward,939274,598026
Scotland,6016,0
Bartholomew,27576,0
Pitt,1997,0
Boone,41268,0
Randolph,50691,0
Stokes,18040,69
