13:49:29
country,customer total,customer out
,529,0
Georgetown,1708,0
Fountain,3715,0
Catawba,68932,0
Transylvania,15660,0
Anderson,86424,25
Shelby,13858,0
York,34467,0
Liberty,3302,0
Scott,2804,0
Spartanburg,124775,0
Fulton,5764,0
Graham,6179,0
Randolph,50691,0
Washington,12414,44
Swain,11279,0
Greenwood,25139,0
Halifax,2135,0
Person,13358,0
Rush,6244,0
Jennings,5381,0
Cass,2907,0
Lenoir,11476,0
Onslow,24750,0
Lafayette,868,16
Henderson,63585,0
Greenville,195678,156
Duval,441271,4154
Grant,3562,0
Pitt,1997,0
Holmes,5052,0
Lawrence,16988,0
Walton,23162,1
Knox,15285,0
Campbell,40722,0
Montgomery,13047,0
Sumter,102713,124
Mecklenburg,448078,230
Posey,1205,0
Gilchrist,4797,1311
Delaware,85,0
Baker,7860,23
Sarasota,265314,26635
Miami-dade,1124137,854380
Preble,273,0
Rutherford,27340,0
Durham,140456,1
Marion,151521,4208
Alamance,74720,0
Levy,7609,262
Palm Beach,742679,331754
Sullivan,6465,0
Taylor,6362,0
Mccormick,19,0
Davie,13165,0
Gadsden,14999,2
Iredell,49827,0
Fairfield,884,0
Richmond,15249,0
Clinton,6436,0
Wayne,47553,0
Cumberland,31706,0
Buncombe,132274,0
Morgan,9380,0
Jackson,42261,86
Clay,94812,66
Abbeville,2003,0
Chester,13976,1
Wake,431725,8
Nassau,21867,2803
Granville,18148,2
Lee,289895,129701
Pamlico,4070,0
Moore,42816,0
Unknown,5277,4
Avery,1215,0
Pike,2429,0
Scotland,6016,0
Guilford,210369,2
Huntington,10622,0
Clark,37941,0
Madison,11700,0
Craven,18450,6
Martin,96358,16635
Wilkes,29159,0
Gulf,7872,35
Hendry,9738,9738
Wabash,11366,0
Rowan,63392,0
Putnam,50536,632
Bradford,9842,37
Lake,149938,1019
Vance,20864,0
Pinellas,541014,1208
Alexander,11887,0
Okeechobee,20093,1702
Davidson,33863,0
Vermillion,8251,0
Darlington,20562,9
Kenton,62170,1
Yancey,652,0
Boone,41268,0
Lincoln,20700,0
Pasco,247681,1383
Stanly,10950,0
Leon,24519,185
Switzerland,1082,0
Dillon,10339,0
St. Lucie,127029,22487
Florence,52312,0
Beaufort,4732,0
Henry,11672,0
Owen,2868,0
Kosciusko,276,0
Kershaw,5420,1
Floyd,26087,0
Dearborn,8521,149
Tipton,3501,0
Oconee,10455,429
Brevard,308909,9906
Volusia,261351,116
Wakulla,15461,664
Benton,451,0
Chesterfield,10668,0
Cabarrus,53193,1
Dubois,2,0
Suwannee,6117,67
Alachua,120032,4757
Edgecombe,1364,0
Cherokee,18147,0
Daviess,1526,0
Yadkin,14159,0
Clermont,90324,0
Charlotte,114552,10499
Chatham,31535,0
Columbus,16392,0
Flagler,58357,533
Duplin,12170,0
Hillsborough,8351,1933
Glades,3354,142
Santa Rosa,68740,0
Surry,25245,0
Manatee,188034,9271
Dixie,2733,0
Wells,205,0
Okaloosa,92569,50
Pendleton,105,0
Howard,41053,0
Fayette,9528,0
Bartholomew,27576,0
Monroe,119951,51281
Harnett,34555,0
Rockingham,45732,0
Burke,21612,0
Newberry,1785,0
Carroll,3782,0
Gaston,53643,0
Tippecanoe,57708,0
Nash,23348,0
Broward,939274,614838
Cleveland,31559,0
Bladen,8812,0
Highlands,54787,1258
Jefferson,19791,4
Johnston,68975,0
Desoto,16790,1810
Ripley,7719,0
Lancaster,32192,0
Horry,1533,1
Calhoun,999,4
Polk,111982,1273
Edgefield,999,0
Williamsburg,6470,0
Johnson,36665,0
Greene,7221,0
Vigo,48482,1
Anson,5486,0
Saluda,4,0
New Hanover,124924,125
Mitchell,5466,0
Warrick,1466,0
Warren,85652,0
Brown,17762,0
Hoke,4929,0
Stokes,18040,0
Highland,304,0
Pickens,25766,0
Collier,212167,140370
Hardee,2841,143
Hancock,10609,0
Union,37825,51
Wilson,1600,0
Miami,2654,0
Haywood,23793,0
Crawford,4481,0
Jones,1937,0
Marlboro,4474,0
Butler,125980,0
Seminole,211093,223
Hamilton,534152,26
Macon,25310,0
Carteret,25089,0
Caswell,9064,0
Osceola,48390,180
Columbia,31192,49
Brunswick,14435,0
Harrison,4497,0
Bay,104611,3276
Orange,425695,1474
Decatur,7802,0
Clarendon,6194,1
Hernando,94931,86
Whitley,103,0
Parke,1275,0
Hendricks,34543,0
St. Johns,106680,960
Escambia,152742,21
Caldwell,23308,0
Sampson,17464,0
Franklin,35478,17
Indian River,56753,2092
Laurens,10047,0
Gibson,9007,0
Mcdowell,18436,0
Forsyth,175791,1
Citrus,87665,1101
Robeson,24105,13
Pender,16998,0
