12:44:01
country,customer total,customer out
,529,529
Greenwood,25139,0
Lafayette,868,32
Clermont,90324,0
Orange,425695,1979
Florence,52312,0
Iredell,49827,0
Seminole,211093,156
Howard,41053,0
Kershaw,5420,1
Wake,431725,9
Wakulla,15461,729
Highlands,54787,1194
Warren,85652,5
Fairfield,884,0
Caswell,9064,0
Preble,273,0
Martin,96358,9340
Dixie,2733,0
Onslow,24750,0
Palm Beach,742679,302619
Franklin,35478,14
Lenoir,11476,0
Haywood,23793,0
Greenville,195678,28
Fountain,3715,0
Kenton,62170,0
Decatur,7802,0
Santa Rosa,68740,0
Graham,6179,0
Cleveland,31559,0
Cabarrus,53193,18
Gilchrist,4797,293
Suwannee,6117,43
Anderson,86424,17
Osceola,48390,180
Washington,12412,48
Indian River,56753,2033
Caldwell,23308,0
Edgecombe,1364,0
Union,37825,164
Alexander,11887,0
Grant,3562,0
Lancaster,32192,0
Gibson,9007,0
Harrison,4497,0
Horry,1533,0
Gulf,7872,39
Hillsborough,7026,2534
Saluda,4,0
Escambia,152742,1
Craven,18450,6
Wilson,1600,0
Hardee,2823,125
Clarendon,6194,1
Baker,7860,128
Delaware,85,0
Chatham,31535,0
Wells,205,0
Richmond,15249,0
Yadkin,14159,0
Williamsburg,6470,0
Mccormick,19,0
Rutherford,27340,0
Mitchell,5466,0
Johnston,68975,1
Harnett,34555,0
Morgan,9380,0
Brunswick,14435,0
Brevard,308909,12967
Clark,37941,0
Dubois,2,0
Pasco,247681,1718
Henry,11672,0
Miami-dade,1124137,831134
Flagler,58357,255
Whitley,103,0
Clay,94812,253
Sullivan,6465,0
Campbell,40722,0
Rush,6244,0
Bladen,8812,0
Holmes,5052,0
Durham,140456,2
Wabash,11366,1
Pike,2429,0
Switzerland,1082,0
Robeson,24105,13
Tipton,3501,0
Liberty,3302,28
Mecklenburg,448078,701
Hendricks,34543,0
Rockingham,45732,314
Darlington,20562,0
Vance,20864,0
Kosciusko,276,0
Pender,16998,0
Gaston,53643,0
Transylvania,15660,0
New Hanover,124924,125
Edgefield,999,0
Vigo,48482,0
Oconee,10455,429
Putnam,50536,1711
Warrick,1466,0
Scott,2804,0
Cumberland,31706,0
Lee,289895,102080
Wilkes,29159,7
Crawford,4481,0
Dillon,10339,0
Sarasota,265314,13951
Bradford,9842,87
St. Lucie,127029,13746
Montgomery,13047,0
Beaufort,4732,0
Taylor,6362,339
Glades,3354,142
Monroe,119951,51247
Gadsden,14999,1
Carteret,25089,0
Hoke,4929,0
Cherokee,18147,0
Surry,25245,0
Georgetown,1708,0
Pendleton,105,0
Huntington,10622,0
Manatee,187784,6564
Columbia,31192,253
Greene,7221,0
Duplin,12170,0
Fayette,9528,0
Hernando,94931,50
Davie,13165,0
Polk,111449,631
Lincoln,20700,0
Jefferson,19791,5
Pamlico,4070,0
Yancey,652,0
Avery,1215,0
Daviess,1526,0
Knox,15285,0
Fulton,5764,0
Anson,5486,0
Desoto,16790,621
Carroll,3782,0
Chester,13976,0
Swain,11279,0
Volusia,261351,71
Chesterfield,10668,0
Stanly,10950,0
Parke,1275,0
Hancock,10609,1
Citrus,87665,1153
Bay,104611,532
Hamilton,534152,19
Granville,18148,2
Okaloosa,92569,19
Abbeville,2003,0
Nassau,21867,2780
Person,13358,0
Marlboro,4474,0
Halifax,2135,0
Marion,151521,6179
Highland,304,0
Nash,23348,0
Ripley,7719,0
Newberry,1785,0
Wayne,47553,0
Sampson,17464,1
Davidson,33863,7
Charlotte,114552,5683
Sumter,102713,102
Floyd,26087,0
Alachua,120032,1327
Walton,23162,8
Hendry,9738,4323
Columbus,16392,0
Alamance,74720,0
Burke,21612,0
Macon,25310,0
Duval,441271,4206
Vermillion,8251,0
Leon,24519,5
Brown,17762,0
Cass,2907,0
Moore,42816,0
Tippecanoe,57708,0
Calhoun,999,4
Lake,149938,619
Buncombe,132274,1
Clinton,6436,0
Owen,2868,0
Mcdowell,18436,0
Unknown,5277,9
Miami,2654,0
Jackson,42261,113
Butler,125980,1
Shelby,13858,0
Catawba,68932,0
York,34467,0
Pinellas,541014,1070
Levy,7609,220
Laurens,10047,0
Jennings,5381,0
Posey,1205,0
Okeechobee,20093,1699
Jones,1937,0
Dearborn,8521,149
Lawrence,16988,0
Guilford,210369,1
Henderson,63585,0
Rowan,63392,0
Pickens,25766,0
Benton,451,0
Johnson,36665,0
Collier,212167,133381
Spartanburg,124775,1
St. Johns,106680,5177
Forsyth,175791,0
Madison,11700,0
Broward,939274,577807
Scotland,6016,0
Bartholomew,27576,0
Pitt,1997,0
Boone,41268,0
Randolph,50691,0
Stokes,18040,71
