19:48:45
country,customer total,customer out
Walton,23211,14
,529,0
Lafayette,4034,3871
Shelby,13858,0
Rutherford,27340,865
Clermont,90324,2
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,1
Suwannee,21816,16007
Greene,7221,1
Indian River,56925,37172
Transylvania,15660,106
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,275
Warrick,1466,0
Darlington,20562,242
Richmond,15249,186
Union,37825,5013
Jones,1937,0
Brevard,308960,212945
Randolph,50691,25
Gilchrist,7923,5624
Bartholomew,27576,0
Pasco,265963,157040
Manatee,209422,103220
Anderson,86424,18870
Moore,42816,546
Duplin,12170,0
Graham,6179,2
Hoke,4929,1
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,11605
Guilford,210369,238
Stanly,10950,0
Collier,212167,191738
Mitchell,5466,106
Highlands,55154,52504
Lee,289895,214602
Cabarrus,53193,549
Hillsborough,321009,240527
Orange,551123,291828
Liberty,3302,659
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,2
Lawrence,16988,0
Williamsburg,6470,2104
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,9
Brown,17762,0
Halifax,2135,0
Iredell,49827,448
New Hanover,124924,63
Bladen,8812,9
Kosciusko,276,0
Miami,2654,0
Madison,16891,7263
Wilson,1600,0
Brunswick,14435,107
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,2992
Hancock,10609,0
Hernando,94931,49626
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,1
Morgan,9380,0
Duval,441599,207626
Rowan,63392,38
Pike,2429,0
Alachua,120576,51098
Cumberland,31706,0
Benton,451,0
Macon,25310,1161
Dixie,8742,7170
Delaware,85,0
Mccormick,19,11
Flagler,58357,47279
Vermillion,8251,0
Gulf,8433,240
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,101
Taylor,12739,6933
Columbia,31330,30397
Pitt,1997,0
Newberry,1785,201
Carroll,3782,0
Franklin,35478,1928
St. Johns,106678,63140
Miami-dade,1124137,746260
Marion,151521,100572
Huntington,10622,0
Georgetown,1708,45
Lancaster,32192,1099
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,41
Johnston,68975,0
Mcdowell,18436,327
Cherokee,18147,105
Wilkes,29159,0
Carteret,25089,0
Chester,13976,963
Harrison,4497,0
Pickens,25766,9167
Kenton,62170,0
Parke,1275,0
Buncombe,132274,2658
Calhoun,2029,550
Gadsden,14999,7200
Lake,149938,102758
Bay,106316,1421
Mecklenburg,448078,8673
Clinton,6436,0
Catawba,68932,113
Gaston,53643,747
Volusia,261351,185060
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15059
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,2
Henderson,63585,2209
Fountain,3715,0
Lincoln,20700,4
Okaloosa,92569,3
Decatur,7802,0
Daviess,1526,0
Scotland,6016,121
Fulton,5764,0
Charlotte,114552,49418
Onslow,24750,0
Highland,304,0
Spartanburg,124775,2626
Sarasota,265345,146404
St. Lucie,127029,77642
Whitley,103,0
Nassau,21867,18189
Horry,1533,0
Hendry,9738,9738
Greenville,195678,19131
Knox,15285,0
Holmes,5052,2
Surry,25245,0
Abbeville,2003,924
Forsyth,175791,1
Preble,273,0
Durham,140456,1
Hendricks,34543,0
Chatham,31535,0
Butler,125980,0
Johnson,36665,0
Sampson,17464,0
Burke,21612,110
Hardee,9248,7264
Chesterfield,10668,12
Martin,96358,66864
Citrus,87665,60178
Beaufort,4732,1
Sumter,102713,23555
Wayne,47553,0
Pinellas,543847,416238
Florence,52312,1726
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,168
Palm Beach,742679,452561
Greenwood,25139,5330
Saluda,4,7
Oconee,10455,1827
Wakulla,15461,5895
Pender,16998,3
Unknown,5314,1803
Edgefield,999,4
Clarendon,6194,16
Harnett,34555,0
Leon,24519,10067
Columbus,16392,1
Haywood,23793,218
Seminole,211093,151520
Jackson,43975,7924
Gibson,9007,0
Boone,41268,1
Dillon,10339,91
Montgomery,13047,134
Escambia,152740,14
Fairfield,884,1
Hamilton,537677,5035
Clay,94814,42478
Henry,11672,0
Okeechobee,20093,13840
Santa Rosa,68740,32
Bradford,9842,7846
Dubois,2,0
Anson,5486,6
Putnam,50536,29493
Vance,20864,0
Baker,7860,5791
Jefferson,23138,7554
Yancey,652,111
Warren,85652,0
Osceola,70430,23712
Grant,3562,1
Polk,328279,126066
Cleveland,31559,82
Tippecanoe,57708,1
Broward,939274,584282
Owen,2868,0
Laurens,10047,3187
Granville,18148,0
