10:23:52
country,customer total,customer out
,529,0
Sumter,102713,22359
Franklin,35478,38
Union,37825,4327
Wake,431725,714
Randolph,50691,0
Anderson,86424,225
Greenwood,25139,904
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9534
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,161
Williamsburg,6470,0
Highlands,55154,49119
Stokes,18040,1
Lincoln,20700,0
Onslow,24750,2
Columbus,16392,0
Moore,42816,279
Jennings,5381,0
Seminole,211093,136078
Spartanburg,124775,36
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21723,21223
Harrison,4497,0
Cleveland,31559,1
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7788,7492
Haywood,23793,0
Alamance,74720,2
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,0
Polk,317906,114381
Ripley,7719,0
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,65227
Morgan,9380,0
Mitchell,5466,28
Pamlico,4070,0
Catawba,68932,4
Laurens,10047,0
Osceola,70410,26562
Leon,24519,14946
Columbia,31330,30843
Monroe,119951,28568
Chester,13976,1
Buncombe,132274,17
St. Johns,106678,88209
Georgetown,1708,0
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,8
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,3
Bartholomew,27576,0
Cabarrus,53193,3
Davie,13165,6
Orange,551123,284314
Switzerland,1082,0
Miami-dade,1124137,826315
Daviess,1526,0
Posey,1205,0
Cherokee,18147,0
Yancey,652,190
Hendricks,34543,4
Broward,939274,637540
Scotland,6016,0
Mecklenburg,448078,210
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,264376,92442
Palm Beach,742679,519233
Graham,6179,0
Jefferson,23138,4506
Vance,20864,6
Holmes,5052,8
Mccormick,19,0
Iredell,49827,2
Campbell,40722,1
Decatur,7802,0
Martin,96358,74343
Rowan,63392,6
Carteret,25089,3
Wilson,1600,0
Johnston,68975,3
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5314,2695
Oconee,10455,0
Lancaster,32192,0
Okaloosa,92569,7
Edgefield,999,0
Wayne,47553,201
Vigo,48482,1
Kershaw,5420,0
Madison,16891,5582
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,64
Duplin,12170,1
Putnam,50536,36443
Hamilton,537677,4752
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,1
Dixie,8211,7569
Cass,2907,0
Desoto,17559,16225
Pinellas,543847,298414
Saluda,4,5
Sampson,17464,1
Grant,3562,0
Flagler,58357,51329
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,195101
Marion,151521,84636
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6773
Davidson,33863,1
Pitt,1997,0
Knox,15285,0
Taylor,12739,7572
Alachua,120568,66634
Butler,125980,40
Rush,6244,0
Hernando,94931,30408
Harnett,34555,297
Burke,21612,0
Calhoun,2029,1029
Baker,7860,7734
Florence,52312,1
Clay,94814,70149
Nassau,21867,18589
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,2021
Caldwell,23308,0
Forsyth,175791,8
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,129
Bay,104611,1553
Hardee,9248,8612
Caswell,9064,10
Pike,2429,0
Floyd,26087,2
Brunswick,14435,107
Sullivan,6465,0
Guilford,210369,1
Lake,149938,74327
Delaware,85,0
Abbeville,2003,1
Henry,11672,1
Hoke,4929,0
Benton,451,0
Lee,289895,234476
Mcdowell,18436,0
Henderson,63585,11
Pendleton,105,0
Manatee,209422,126547
Whitley,103,0
Escambia,152740,6
Fulton,5764,0
Fairfield,884,0
Hillsborough,290802,262604
Carroll,3782,0
Washington,12658,311
Miami,2654,0
Brevard,308960,236183
Pickens,25766,0
Volusia,261351,176782
Richmond,15249,0
St. Lucie,127029,89881
Indian River,56924,47033
Citrus,87665,40649
Durham,140456,1
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,170067
Levy,19402,14981
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,48
Santa Rosa,68740,7
Okeechobee,20093,19803
Gadsden,14999,9325
Newberry,1785,0
Jackson,43522,1367
Walton,23163,139
Gaston,53643,5
Duval,441599,236465
Hendry,9738,9738
