19:18:28
country,customer total,customer out
Walton,23211,36
,529,0
Lafayette,4034,3873
Shelby,13858,0
Rutherford,27340,840
Clermont,90324,1
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,1
Suwannee,21816,18478
Greene,7221,1
Indian River,56925,37193
Transylvania,15660,105
Dearborn,8521,0
Scott,2804,0
Davie,13165,1
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,1
Caldwell,23308,275
Warrick,1466,0
Darlington,20562,227
Richmond,15249,185
Union,37825,4952
Jones,1937,0
Brevard,308960,215276
Randolph,50691,25
Gilchrist,7923,5587
Bartholomew,27576,0
Pasco,265950,157027
Manatee,209422,103028
Anderson,86424,17788
Moore,42816,538
Duplin,12170,0
Graham,6179,2
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,11605
Guilford,210369,26
Stanly,10950,0
Collier,212167,191553
Mitchell,5466,112
Highlands,55154,52504
Lee,289895,214635
Cabarrus,53193,548
Hillsborough,316001,242705
Orange,551123,292273
Liberty,3302,1045
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,1
Lawrence,16988,0
Williamsburg,6470,2090
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,156
Brown,17762,0
Halifax,2135,0
Iredell,49827,447
New Hanover,124924,61
Bladen,8812,38
Kosciusko,276,0
Miami,2654,0
Madison,16891,7168
Wilson,1600,0
Brunswick,14435,322
Ripley,7719,0
Howard,41053,0
Wake,431725,1
York,34467,3149
Hancock,10609,0
Hernando,94931,49626
Crawford,4481,1
Floyd,26087,0
Rockingham,45732,2
Morgan,9380,0
Duval,441599,207961
Rowan,63392,38
Pike,2429,0
Alachua,120576,52054
Cumberland,31706,0
Benton,451,0
Macon,25310,1157
Dixie,8742,6893
Delaware,85,0
Mccormick,19,11
Flagler,58357,47263
Vermillion,8251,0
Gulf,8433,326
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,100
Taylor,12739,6866
Columbia,31330,30394
Pitt,1997,0
Newberry,1785,441
Carroll,3782,0
Franklin,35478,1928
St. Johns,106678,66467
Miami-dade,1124137,751327
Marion,151521,100569
Huntington,10622,0
Georgetown,1708,30
Lancaster,32192,2812
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,41
Johnston,68975,1
Mcdowell,18436,6
Cherokee,18147,82
Wilkes,29159,0
Carteret,25089,0
Chester,13976,1013
Harrison,4497,0
Pickens,25766,8807
Kenton,62170,0
Parke,1275,0
Buncombe,132274,2494
Calhoun,2029,551
Gadsden,14999,7431
Lake,149938,102758
Bay,106316,1402
Mecklenburg,448078,6928
Clinton,6436,0
Catawba,68932,31
Gaston,53643,740
Volusia,261351,183371
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15566
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,1127
Fountain,3715,0
Lincoln,20700,4
Okaloosa,92569,2
Decatur,7802,0
Daviess,1526,0
Scotland,6016,121
Fulton,5764,0
Charlotte,114552,48771
Onslow,24750,0
Highland,304,0
Spartanburg,124775,2860
Sarasota,265345,150001
St. Lucie,127029,77963
Whitley,103,0
Nassau,21867,18188
Horry,1533,0
Hendry,9738,9738
Greenville,195678,18904
Knox,15285,0
Holmes,5052,3
Surry,25245,0
Abbeville,2003,924
Forsyth,175791,3
Preble,273,0
Durham,140456,1
Hendricks,34543,0
Chatham,31535,0
Butler,125980,2
Johnson,36665,0
Sampson,17464,0
Burke,21612,31
Hardee,9248,8411
Chesterfield,10668,12
Martin,96358,67786
Citrus,87665,60178
Beaufort,4732,1
Sumter,102713,23515
Wayne,47553,0
Pinellas,543847,416237
Florence,52312,2409
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,1388
Palm Beach,742679,451017
Greenwood,25139,5321
Saluda,4,7
Oconee,10455,1428
Wakulla,15461,5954
Pender,16998,3
Unknown,5314,1802
Edgefield,999,4
Clarendon,6194,16
Harnett,34555,0
Leon,24519,10714
Columbus,16392,0
Haywood,23793,217
Seminole,211093,151236
Jackson,43975,7569
Gibson,9007,0
Boone,41268,1
Dillon,10339,41
Montgomery,13047,135
Escambia,152740,18
Fairfield,884,682
Hamilton,537677,5032
Clay,94814,42094
Henry,11672,0
Okeechobee,20093,13828
Santa Rosa,68740,34
Bradford,9842,7478
Dubois,2,0
Anson,5486,66
Putnam,50536,32556
Vance,20864,0
Baker,7860,5791
Jefferson,23138,7554
Yancey,652,111
Warren,85652,0
Osceola,70430,23147
Grant,3562,1
Polk,328277,130826
Cleveland,31559,67
Tippecanoe,57708,1
Broward,939274,589351
Owen,2868,0
Laurens,10047,3290
Granville,18148,0
