12:24:21
country,customer total,customer out
Walton,23210,109
,529,0
Lafayette,4034,3883
Shelby,13858,1
Rutherford,27340,0
Clermont,90324,64
Tipton,3501,0
Monroe,119951,28568
Robeson,24105,0
Suwannee,21740,21549
Greene,7221,0
Indian River,56924,42617
Transylvania,15660,0
Dearborn,8521,0
Scott,2804,0
Davie,13165,5
Davidson,33863,1
Yadkin,14159,0
Vigo,48482,1
Caldwell,23308,0
Warrick,1466,2
Darlington,20562,0
Richmond,15249,0
Union,37825,4563
Jones,1937,0
Brevard,308960,227076
Randolph,50691,0
Gilchrist,7923,7449
Bartholomew,27576,0
Pasco,264430,119868
Manatee,209422,117284
Anderson,86424,1439
Moore,42816,1
Duplin,12170,1
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,1
Desoto,17614,15368
Guilford,210369,2
Stanly,10950,0
Collier,212167,195140
Mitchell,5466,28
Highlands,55154,52526
Lee,289895,225600
Cabarrus,53193,0
Hillsborough,296324,244969
Orange,551123,333809
Liberty,3302,2022
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,143
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,0
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,2
New Hanover,124924,8
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7821
Wilson,1600,0
Brunswick,14435,244
Ripley,7719,0
Howard,41053,0
Wake,431725,24
York,34467,1
Hancock,10609,0
Hernando,94931,31796
Crawford,4481,0
Floyd,26087,2
Rockingham,45732,0
Morgan,9380,0
Duval,441599,248118
Rowan,63392,2
Pike,2429,0
Alachua,120570,66011
Cumberland,31706,0
Benton,451,0
Macon,25310,0
Dixie,8699,8436
Delaware,85,0
Mccormick,19,7
Flagler,58357,47998
Vermillion,8251,0
Gulf,8433,837
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,12744,340
Taylor,12739,9886
Columbia,31330,30844
Pitt,1997,0
Newberry,1785,1
Carroll,3782,0
Franklin,35478,1965
St. Johns,106678,86414
Miami-dade,1124137,812002
Marion,151521,100483
Huntington,10622,0
Georgetown,1708,0
Lancaster,32192,2
Clark,37941,0
Rush,6244,0
Jennings,5381,17
Swain,11279,0
Johnston,68975,4
Mcdowell,18436,1
Cherokee,18147,0
Wilkes,29159,0
Carteret,25089,5
Chester,13976,30
Harrison,4497,0
Pickens,25766,20
Kenton,62170,0
Parke,1275,0
Buncombe,132274,4
Calhoun,2029,1507
Gadsden,14999,9589
Lake,149938,101599
Bay,104611,275
Mecklenburg,448078,71
Clinton,6436,0
Catawba,68932,0
Gaston,53643,1
Volusia,261351,196330
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16569
Lenoir,11476,0
Person,13358,0
Campbell,40722,1
Alamance,74720,1
Henderson,63585,70
Fountain,3715,0
Lincoln,20700,52
Okaloosa,92569,5
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,63195
Onslow,24750,0
Highland,304,0
Spartanburg,124775,51
Sarasota,265345,172953
St. Lucie,127029,90909
Whitley,103,0
Nassau,21867,20767
Horry,1533,0
Hendry,9738,9738
Greenville,195678,275
Knox,15285,0
Holmes,5052,3
Surry,25245,0
Abbeville,2003,34
Forsyth,175791,5
Preble,273,0
Durham,140456,1
Hendricks,34543,9
Chatham,31535,0
Butler,125980,6
Johnson,36665,0
Sampson,17464,1
Burke,21612,0
Hardee,9248,8665
Chesterfield,10668,51
Martin,96358,73354
Citrus,87665,51548
Beaufort,4732,0
Sumter,102713,22912
Wayne,47553,2
Pinellas,543847,405199
Florence,52312,0
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,0
Palm Beach,742679,509712
Greenwood,25139,2327
Saluda,4,5
Oconee,10455,1
Wakulla,15461,8976
Pender,16998,0
Unknown,5314,2933
Edgefield,999,0
Clarendon,6194,65
Harnett,34555,298
Leon,24519,15006
Columbus,16392,1
Haywood,23793,2
Seminole,211093,156574
Jackson,43940,1288
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,288
Fairfield,884,0
Hamilton,537677,5910
Clay,94814,70606
Henry,11672,0
Okeechobee,20093,19962
Santa Rosa,68740,2
Bradford,9842,9538
Dubois,2,0
Anson,5486,0
Putnam,50536,36673
Vance,20864,1
Baker,7860,6730
Jefferson,23138,7044
Yancey,652,190
Warren,85652,6
Osceola,70410,30492
Grant,3562,0
Polk,318068,130318
Cleveland,31559,2
Tippecanoe,57708,0
Broward,939274,627893
Owen,2868,0
Laurens,10047,49
Granville,18148,0
