09:43:30
country,customer total,customer out
,529,0
Sumter,102713,22353
Franklin,35478,38
Union,37825,4191
Wake,431725,715
Randolph,50691,0
Anderson,86424,153
Greenwood,25139,834
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9534
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,110
Williamsburg,6470,1
Highlands,55154,49119
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,1
Moore,42816,268
Jennings,5381,0
Seminole,211093,135871
Spartanburg,124775,9
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21649,21067
Harrison,4497,0
Cleveland,31559,1
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7721,7425
Haywood,23793,1
Alamance,74720,5
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,0
Polk,316133,108354
Ripley,7719,0
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,68558
Morgan,9380,0
Mitchell,5466,28
Pamlico,4070,0
Catawba,68932,4
Laurens,10047,0
Osceola,70378,27338
Leon,24519,14946
Columbia,31330,30004
Monroe,119951,28569
Chester,13976,0
Buncombe,132274,5
St. Johns,106678,88285
Georgetown,1708,0
Howard,41053,7
Stanly,10950,0
Yadkin,14159,0
Warren,85652,7
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,1
Bartholomew,27576,0
Cabarrus,53193,3
Davie,13165,6
Orange,550548,283734
Switzerland,1082,0
Miami-dade,1124137,829581
Daviess,1526,0
Posey,1205,0
Cherokee,18147,0
Yancey,652,190
Hendricks,34543,0
Broward,939274,636431
Scotland,6016,1
Mecklenburg,448078,229
Parke,1275,0
Pender,16998,0
Boone,41268,1
Pasco,264373,92438
Palm Beach,742679,532959
Graham,6179,0
Jefferson,23138,4498
Vance,20864,6
Holmes,5052,39
Mccormick,19,0
Iredell,49827,0
Campbell,40722,1
Decatur,7802,0
Martin,96358,77504
Rowan,63392,4
Carteret,25089,0
Wilson,1600,0
Johnston,68975,2
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5314,2930
Oconee,10455,0
Lancaster,32192,1
Okaloosa,92569,7
Edgefield,999,0
Wayne,47553,0
Vigo,48482,1
Kershaw,5420,0
Madison,16891,5971
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,64
Duplin,12170,1
Putnam,50536,36470
Hamilton,537677,4821
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,0
Dixie,8204,7562
Cass,2907,0
Desoto,17559,16179
Pinellas,543847,298411
Saluda,4,0
Sampson,17464,4
Grant,3562,0
Flagler,58357,51105
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,195044
Marion,151521,84634
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6733
Davidson,33863,1
Pitt,1997,0
Knox,15285,0
Taylor,12739,7441
Alachua,120568,64018
Butler,125980,4
Rush,6244,0
Hernando,94931,30408
Harnett,34555,297
Burke,21612,0
Calhoun,2029,234
Baker,7860,7764
Florence,52312,2
Clay,94814,69853
Nassau,21867,19668
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,2021
Caldwell,23308,0
Forsyth,175791,9
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,1
Bay,104611,312
Hardee,9248,8612
Caswell,9064,8
Pike,2429,8
Floyd,26087,1
Brunswick,14435,106
Sullivan,6465,0
Guilford,210369,0
Lake,149938,74327
Delaware,85,0
Abbeville,2003,1
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,231929
Mcdowell,18436,0
Henderson,63585,12
Pendleton,105,0
Manatee,209422,127550
Whitley,103,0
Escambia,152740,11
Fulton,5764,0
Fairfield,884,0
Hillsborough,279532,256142
Carroll,3782,0
Washington,12519,286
Miami,2654,0
Brevard,308960,239368
Pickens,25766,0
Volusia,261351,177777
Richmond,15249,0
St. Lucie,127029,89228
Indian River,56924,47007
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,166893
Levy,19364,15233
York,34467,1
Jones,1937,0
Kenton,62170,1
Robeson,24105,0
Greenville,195678,24
Santa Rosa,68740,7
Okeechobee,20093,19796
Gadsden,14999,9307
Newberry,1785,0
Jackson,43495,1319
Walton,23163,139
Gaston,53643,5
Duval,441599,263139
Hendry,9738,9738
