12:44:34
country,customer total,customer out
Walton,23210,48
,529,0
Lafayette,4034,3883
Shelby,13858,1
Rutherford,27340,7
Clermont,90324,0
Tipton,3501,0
Monroe,119951,28571
Robeson,24105,0
Suwannee,21780,21590
Greene,7221,0
Indian River,56924,42618
Transylvania,15660,0
Dearborn,8521,0
Scott,2804,0
Davie,13165,5
Davidson,33863,1
Yadkin,14159,0
Vigo,48482,85
Caldwell,23308,0
Warrick,1466,2
Darlington,20562,0
Richmond,15249,0
Union,37825,4574
Jones,1937,0
Brevard,308960,225731
Randolph,50691,1
Gilchrist,7923,7428
Bartholomew,27576,0
Pasco,264447,119895
Manatee,209422,117844
Anderson,86424,3369
Moore,42816,0
Duplin,12170,0
Graham,6179,1
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,1
Desoto,17614,15368
Guilford,210369,2
Stanly,10950,0
Collier,212167,195158
Mitchell,5466,28
Highlands,55154,52526
Lee,289895,225672
Cabarrus,53193,0
Hillsborough,297226,251916
Orange,551123,333930
Liberty,3302,2022
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,143
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,1
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,2
New Hanover,124924,45
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7840
Wilson,1600,0
Brunswick,14435,0
Ripley,7719,0
Howard,41053,0
Wake,431725,27
York,34467,0
Hancock,10609,0
Hernando,94931,31796
Crawford,4481,0
Floyd,26087,2
Rockingham,45732,0
Morgan,9380,0
Duval,441599,247977
Rowan,63392,1
Pike,2429,0
Alachua,120570,66049
Cumberland,31706,1
Benton,451,0
Macon,25310,0
Dixie,8742,8479
Delaware,85,0
Mccormick,19,7
Flagler,58357,48027
Vermillion,8251,0
Gulf,8433,959
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,12744,353
Taylor,12739,9950
Columbia,31330,30844
Pitt,1997,0
Newberry,1785,5
Carroll,3782,0
Franklin,35478,1965
St. Johns,106678,85026
Miami-dade,1124137,812569
Marion,151521,100483
Huntington,10622,0
Georgetown,1708,0
Lancaster,32192,200
Clark,37941,0
Rush,6244,0
Jennings,5381,17
Swain,11279,0
Johnston,68975,4
Mcdowell,18436,0
Cherokee,18147,0
Wilkes,29159,0
Carteret,25089,2
Chester,13976,32
Harrison,4497,0
Pickens,25766,35
Kenton,62170,0
Parke,1275,0
Buncombe,132274,132
Calhoun,2029,1471
Gadsden,14999,9567
Lake,149938,101599
Bay,104611,286
Mecklenburg,448078,103
Clinton,6436,0
Catawba,68932,0
Gaston,53643,1
Volusia,261351,196505
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16576
Lenoir,11476,0
Person,13358,1
Campbell,40722,0
Alamance,74720,1
Henderson,63585,91
Fountain,3715,0
Lincoln,20700,52
Okaloosa,92569,6
Decatur,7802,6
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,62817
Onslow,24750,3
Highland,304,0
Spartanburg,124775,54
Sarasota,265345,170311
St. Lucie,127029,86636
Whitley,103,0
Nassau,21867,20768
Horry,1533,0
Hendry,9738,9738
Greenville,195678,269
Knox,15285,0
Holmes,5052,3
Surry,25245,0
Abbeville,2003,86
Forsyth,175791,7
Preble,273,0
Durham,140456,1
Hendricks,34543,0
Chatham,31535,0
Butler,125980,42
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8665
Chesterfield,10668,45
Martin,96358,72872
Citrus,87665,51548
Beaufort,4732,0
Sumter,102713,22915
Wayne,47553,2
Pinellas,543847,405199
Florence,52312,1
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,0
Palm Beach,742679,505218
Greenwood,25139,2496
Saluda,4,5
Oconee,10455,1
Wakulla,15461,8850
Pender,16998,0
Unknown,5314,1531
Edgefield,999,0
Clarendon,6194,65
Harnett,34555,298
Leon,24519,15017
Columbus,16392,1
Haywood,23793,1
Seminole,211093,156576
Jackson,43940,1264
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,288
Fairfield,884,0
Hamilton,537677,5897
Clay,94814,70627
Henry,11672,0
Okeechobee,20093,19962
Santa Rosa,68740,2
Bradford,9842,9538
Dubois,2,0
Anson,5486,0
Putnam,50536,36615
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7044
Yancey,652,190
Warren,85652,6
Osceola,70410,30623
Grant,3562,0
Polk,318098,129980
Cleveland,31559,3
Tippecanoe,57708,0
Broward,939274,624842
Owen,2868,0
Laurens,10047,58
Granville,18148,0
