09:13:13
country,customer total,customer out
,529,0
Sumter,102713,22352
Franklin,35478,28
Union,37825,4154
Wake,431725,719
Randolph,50691,1
Anderson,86424,3
Greenwood,25139,834
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9519
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,110
Williamsburg,6470,215
Highlands,55154,49119
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,1
Moore,42816,1
Jennings,5381,16
Seminole,211093,136923
Spartanburg,124775,9
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21595,21010
Harrison,4497,0
Cleveland,31559,1
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7706,7410
Haywood,23793,1
Alamance,74720,8
Horry,1533,0
Dillon,10339,1
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,0
Polk,316069,110644
Ripley,7719,1
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,70624
Morgan,9380,0
Mitchell,5466,0
Pamlico,4070,0
Catawba,68932,1
Laurens,10047,0
Osceola,70378,29841
Leon,24519,14704
Columbia,31330,29635
Monroe,119951,28582
Chester,13976,0
Buncombe,132274,4
St. Johns,106678,88139
Georgetown,1708,0
Howard,41053,7
Stanly,10950,0
Yadkin,14159,0
Warren,85652,7
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,1
Bartholomew,27576,0
Cabarrus,53193,0
Davie,13165,3
Orange,549611,282797
Switzerland,1082,0
Miami-dade,1124137,823836
Daviess,1526,0
Posey,1205,0
Cherokee,18147,1
Yancey,652,3
Hendricks,34543,0
Broward,939274,632784
Scotland,6016,1
Mecklenburg,448078,230
Parke,1275,0
Pender,16998,0
Boone,41268,1
Pasco,264361,92426
Palm Beach,742679,530508
Graham,6179,0
Jefferson,23138,4498
Vance,20864,6
Holmes,5052,287
Mccormick,19,0
Iredell,49827,0
Campbell,40722,65
Decatur,7802,0
Martin,96358,77421
Rowan,63392,4
Carteret,25089,0
Wilson,1600,0
Johnston,68975,2
Brown,17762,1
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5314,1308
Oconee,10455,0
Lancaster,32192,18
Okaloosa,92569,19
Edgefield,999,0
Wayne,47553,0
Vigo,48482,1
Kershaw,5420,0
Madison,16891,6413
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,65
Duplin,12170,1
Putnam,50536,36251
Hamilton,537677,4833
Wabash,11366,0
Lawrence,16988,1
Darlington,20562,0
Dixie,7824,7182
Cass,2907,0
Desoto,17559,15956
Pinellas,543847,298404
Saluda,4,0
Sampson,17464,1
Grant,3562,0
Flagler,58357,51057
Dearborn,8521,0
Cumberland,31706,1
Collier,212167,194928
Marion,151521,84582
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6733
Davidson,33863,1
Pitt,1997,0
Knox,15285,1
Taylor,12739,7852
Alachua,120568,62439
Butler,125980,4
Rush,6244,0
Hernando,94931,30408
Harnett,34555,184
Burke,21612,0
Calhoun,2029,222
Baker,7860,7433
Florence,52312,2
Clay,94814,56189
Nassau,21867,21866
Craven,18450,0
Swain,11279,0
Nash,23348,1
Wells,205,0
Liberty,3302,2021
Caldwell,23308,0
Forsyth,175791,9
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,14
Bay,104611,484
Hardee,9248,8612
Caswell,9064,0
Pike,2429,8
Floyd,26087,0
Brunswick,14435,106
Sullivan,6465,0
Guilford,210369,0
Lake,149938,74327
Delaware,85,0
Abbeville,2003,0
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,231695
Mcdowell,18436,1
Henderson,63585,11
Pendleton,105,0
Manatee,209422,128273
Whitley,103,0
Escambia,152740,3
Fulton,5764,0
Fairfield,884,0
Hillsborough,277510,253477
Carroll,3782,0
Washington,12457,195
Miami,2654,0
Brevard,308960,238822
Pickens,25766,0
Volusia,261351,177405
Richmond,15249,0
St. Lucie,127029,90451
Indian River,56924,46916
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,166273
Levy,19096,14961
York,34467,0
Jones,1937,0
Kenton,62170,1
Robeson,24105,0
Greenville,195678,26
Santa Rosa,68740,4
Okeechobee,20093,19754
Gadsden,14999,9141
Newberry,1785,0
Jackson,43381,989
Walton,23163,73
Gaston,53643,3
Duval,441599,251477
Hendry,9738,9738
