17:47:36
country,customer total,customer out
Walton,23211,24
,529,0
Lafayette,4034,3879
Shelby,13858,0
Rutherford,27340,79
Clermont,90324,1
Tipton,3501,0
Monroe,119951,28570
Robeson,24105,1
Suwannee,21816,19451
Greene,7221,0
Indian River,56924,40950
Transylvania,15660,10
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,0
Warrick,1466,0
Darlington,20562,54
Richmond,15249,0
Union,37825,4610
Jones,1937,0
Brevard,308960,216690
Randolph,50691,8
Gilchrist,7923,5828
Bartholomew,27576,0
Pasco,265925,156622
Manatee,209422,112598
Anderson,86424,12388
Moore,42816,1
Duplin,12170,0
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,14201
Guilford,210369,24
Stanly,10950,0
Collier,212167,192664
Mitchell,5466,32
Highlands,55154,52597
Lee,289895,216513
Cabarrus,53193,1
Hillsborough,315866,256048
Orange,551123,305513
Liberty,3302,1174
Stokes,18040,0
Pamlico,4070,0
Craven,18450,113
Glades,3354,179
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,1624
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,4
Brown,17762,0
Halifax,2135,0
Iredell,49827,55
New Hanover,124924,111
Bladen,8812,15
Kosciusko,276,0
Miami,2654,0
Madison,16891,7184
Wilson,1600,0
Brunswick,14435,813
Ripley,7719,0
Howard,41053,0
Wake,431725,1
York,34467,2501
Hancock,10609,0
Hernando,94931,49595
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,1
Duval,441599,233299
Rowan,63392,0
Pike,2429,0
Alachua,120576,56076
Cumberland,31706,0
Benton,451,0
Macon,25310,919
Dixie,8742,7308
Delaware,85,0
Mccormick,19,11
Flagler,58357,48353
Vermillion,8251,0
Gulf,8433,242
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,135
Taylor,12739,9076
Columbia,31330,30391
Pitt,1997,0
Newberry,1785,11
Carroll,3782,0
Franklin,35478,1971
St. Johns,106678,71576
Miami-dade,1124137,776812
Marion,151521,102238
Huntington,10622,0
Georgetown,1708,13
Lancaster,32192,1199
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,35
Johnston,68975,1
Mcdowell,18436,0
Cherokee,18147,52
Wilkes,29159,0
Carteret,25089,0
Chester,13976,906
Harrison,4497,0
Pickens,25766,4785
Kenton,62170,0
Parke,1275,0
Buncombe,132274,652
Calhoun,2029,857
Gadsden,14999,7783
Lake,149938,102489
Bay,106316,2231
Mecklenburg,448078,2354
Clinton,6436,0
Catawba,68932,2
Gaston,53643,672
Volusia,261351,185603
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16103
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,541
Fountain,3715,1
Lincoln,20700,25
Okaloosa,92569,130
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,53364
Onslow,24750,0
Highland,304,0
Spartanburg,124775,1268
Sarasota,265345,153984
St. Lucie,127029,81103
Whitley,103,0
Nassau,21867,18107
Horry,1533,0
Hendry,9738,9738
Greenville,195678,16942
Knox,15285,0
Holmes,5052,58
Surry,25245,1
Abbeville,2003,998
Forsyth,175791,4
Preble,273,0
Durham,140456,6
Hendricks,34543,0
Chatham,31535,0
Butler,125980,85
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8397
Chesterfield,10668,5
Martin,96358,68124
Citrus,87665,59859
Beaufort,4732,58
Sumter,102713,22703
Wayne,47553,1
Pinellas,543847,412078
Florence,52312,913
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,541
Palm Beach,742679,476620
Greenwood,25139,3805
Saluda,4,1
Oconee,10455,1135
Wakulla,15461,6750
Pender,16998,0
Unknown,5314,1711
Edgefield,999,2
Clarendon,6194,17
Harnett,34555,0
Leon,24519,13509
Columbus,16392,19
Haywood,23793,217
Seminole,211093,154449
Jackson,43975,6200
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,28
Fairfield,884,681
Hamilton,537677,5730
Clay,94814,46567
Henry,11672,0
Okeechobee,20093,17761
Santa Rosa,68740,2
Bradford,9842,8163
Dubois,2,0
Anson,5486,0
Putnam,50536,34093
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7554
Yancey,652,94
Warren,85652,2
Osceola,70430,25134
Grant,3562,0
Polk,328234,130966
Cleveland,31559,609
Tippecanoe,57708,1
Broward,939274,602122
Owen,2868,0
Laurens,10047,3177
Granville,18148,0
