23:10:38
country,customer total,customer out
Walton,23211,0
,529,0
Lafayette,4034,3874
Shelby,13858,0
Rutherford,27340,2947
Clermont,90324,0
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,4
Suwannee,21816,17994
Greene,7221,0
Indian River,56925,36622
Transylvania,15660,139
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,5
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,377
Warrick,1466,0
Darlington,20562,286
Richmond,15249,24
Union,37825,5296
Jones,1937,0
Brevard,308960,203070
Randolph,50691,0
Gilchrist,7923,5595
Bartholomew,27576,0
Pasco,266024,150212
Manatee,209422,91235
Anderson,86424,23304
Moore,42816,286
Duplin,12170,0
Graham,6179,85
Hoke,4929,1
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10314
Guilford,210369,34
Stanly,10950,27
Collier,212167,187174
Mitchell,5466,283
Highlands,55154,52504
Lee,289895,213887
Cabarrus,53193,665
Hillsborough,321144,237209
Orange,551123,288934
Liberty,3302,615
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,179
Avery,1215,21
Lawrence,16988,0
Williamsburg,6470,1109
Alexander,11887,9
Wabash,11366,0
Marlboro,4474,34
Brown,17762,0
Halifax,2135,0
Iredell,49827,8
New Hanover,124924,283
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7279
Wilson,1600,0
Brunswick,14435,6
Ripley,7719,0
Howard,41053,0
Wake,431725,102
York,34467,1595
Hancock,10609,0
Hernando,94931,48454
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,0
Duval,441599,164402
Rowan,63392,323
Pike,2429,0
Alachua,120576,43545
Cumberland,31706,0
Benton,451,0
Macon,25310,3247
Dixie,8742,6774
Delaware,85,0
Mccormick,19,11
Flagler,58357,45789
Vermillion,8251,0
Gulf,8433,228
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,4
Taylor,12739,6865
Columbia,31330,30407
Pitt,1997,0
Newberry,1785,210
Carroll,3782,0
Franklin,35478,1928
St. Johns,106678,59924
Miami-dade,1124137,714645
Marion,151521,100190
Huntington,10622,0
Georgetown,1708,45
Lancaster,32192,1270
Clark,37941,2
Rush,6244,0
Jennings,5381,0
Swain,11279,176
Johnston,68975,0
Mcdowell,18436,149
Cherokee,18147,179
Wilkes,29159,0
Carteret,25089,0
Chester,13976,953
Harrison,4497,0
Pickens,25766,14247
Kenton,62170,0
Parke,1275,0
Buncombe,132274,6819
Calhoun,2029,12
Gadsden,14999,7091
Lake,149938,96704
Bay,106316,75
Mecklenburg,448078,13021
Clinton,6436,0
Catawba,68932,127
Gaston,53643,1128
Volusia,261351,177094
Cass,2907,0
Edgecombe,1364,0
Levy,19402,15245
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,3346
Fountain,3715,0
Lincoln,20700,13
Okaloosa,92569,0
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,46754
Onslow,24750,0
Highland,304,0
Spartanburg,124775,3799
Sarasota,265345,133258
St. Lucie,127029,62625
Whitley,103,0
Nassau,21867,18203
Horry,1533,0
Hendry,9738,8692
Greenville,195678,27565
Knox,15285,0
Holmes,5052,43
Surry,25245,0
Abbeville,2003,936
Forsyth,175791,1
Preble,273,0
Durham,140456,0
Hendricks,34543,0
Chatham,31535,0
Butler,125980,0
Johnson,36665,4
Sampson,17464,0
Burke,21612,80
Hardee,9248,7044
Chesterfield,10668,494
Martin,96358,62285
Citrus,87665,62211
Beaufort,4732,0
Sumter,102713,21349
Wayne,47553,1
Pinellas,543847,416256
Florence,52312,2352
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,158
Palm Beach,742679,436493
Greenwood,25139,5832
Saluda,4,7
Oconee,10455,6291
Wakulla,15461,5764
Pender,16998,1
Unknown,5314,857
Edgefield,999,2
Clarendon,6194,16
Harnett,34555,0
Leon,24518,8914
Columbus,16392,74
Haywood,23793,677
Seminole,211093,149286
Jackson,43975,9145
Gibson,9007,0
Boone,41268,0
Dillon,10339,134
Montgomery,13047,15
Escambia,152740,1
Fairfield,884,5
Hamilton,537677,5424
Clay,94814,38266
Henry,11672,0
Okeechobee,20093,14308
Santa Rosa,68740,2
Bradford,9842,6756
Dubois,2,0
Anson,5486,0
Putnam,50536,29586
Vance,20864,0
Baker,7860,4228
Jefferson,23138,7554
Yancey,652,111
Warren,85652,0
Osceola,70430,21657
Grant,3562,2
Polk,330373,128926
Cleveland,31559,353
Tippecanoe,57708,0
Broward,939274,569448
Owen,2868,0
Laurens,10047,3451
Granville,18148,0
