12:04:09
country,customer total,customer out
Walton,23210,109
,529,0
Lafayette,4034,3883
Shelby,13858,0
Rutherford,27340,0
Clermont,90324,64
Tipton,3501,0
Monroe,119951,28568
Robeson,24105,1
Suwannee,21740,21512
Greene,7221,0
Indian River,56924,42615
Transylvania,15660,0
Dearborn,8521,0
Scott,2804,0
Davie,13165,5
Davidson,33863,1
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,0
Warrick,1466,0
Darlington,20562,0
Richmond,15249,0
Union,37825,4538
Jones,1937,0
Brevard,308960,225732
Randolph,50691,0
Gilchrist,7923,7505
Bartholomew,27576,0
Pasco,264425,119873
Manatee,209422,116319
Anderson,86424,859
Moore,42816,0
Duplin,12170,1
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,1
Desoto,17614,16304
Guilford,210369,1
Stanly,10950,0
Collier,212167,195335
Mitchell,5466,28
Highlands,55154,52526
Lee,289895,225593
Cabarrus,53193,3
Hillsborough,293395,252087
Orange,551123,334069
Liberty,3302,2022
Stokes,18040,0
Pamlico,4070,0
Craven,18450,0
Glades,3354,143
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,0
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,1
New Hanover,124924,83
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7663
Wilson,1600,0
Brunswick,14435,110
Ripley,7719,0
Howard,41053,0
Wake,431725,715
York,34467,1
Hancock,10609,0
Hernando,94931,31796
Crawford,4481,1
Floyd,26087,2
Rockingham,45732,0
Morgan,9380,0
Duval,441599,252035
Rowan,63392,4
Pike,2429,0
Alachua,120570,65837
Cumberland,31706,0
Benton,451,0
Macon,25310,0
Dixie,8672,8409
Delaware,85,0
Mccormick,19,7
Flagler,58357,47927
Vermillion,8251,0
Gulf,8433,834
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,12744,363
Taylor,12739,9881
Columbia,31330,30844
Pitt,1997,0
Newberry,1785,0
Carroll,3782,0
Franklin,35478,1965
St. Johns,106678,86956
Miami-dade,1124137,816972
Marion,151521,100483
Huntington,10622,0
Georgetown,1708,0
Lancaster,32192,1
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,0
Johnston,68975,1
Mcdowell,18436,0
Cherokee,18147,0
Wilkes,29159,0
Carteret,25089,81
Chester,13976,30
Harrison,4497,0
Pickens,25766,1
Kenton,62170,1
Parke,1275,0
Buncombe,132274,1
Calhoun,2029,1461
Gadsden,14999,9616
Lake,149938,101599
Bay,104611,896
Mecklenburg,448078,69
Clinton,6436,0
Catawba,68932,0
Gaston,53643,1
Volusia,261351,195959
Cass,2907,0
Edgecombe,1364,0
Levy,19402,17264
Lenoir,11476,0
Person,13358,0
Campbell,40722,1
Alamance,74720,1
Henderson,63585,14
Fountain,3715,0
Lincoln,20700,51
Okaloosa,92569,5
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,62914
Onslow,24750,0
Highland,304,0
Spartanburg,124775,35
Sarasota,265345,171824
St. Lucie,127029,90864
Whitley,103,0
Nassau,21867,20766
Horry,1533,0
Hendry,9738,9738
Greenville,195678,161
Knox,15285,0
Holmes,5052,5
Surry,25245,0
Abbeville,2003,3
Forsyth,175791,4
Preble,273,0
Durham,140456,1
Hendricks,34543,9
Chatham,31535,0
Butler,125980,7
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8665
Chesterfield,10668,1
Martin,96358,72788
Citrus,87665,51548
Beaufort,4732,0
Sumter,102713,23089
Wayne,47553,2
Pinellas,543847,405199
Florence,52312,0
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,0
Palm Beach,742679,512037
Greenwood,25139,606
Saluda,4,5
Oconee,10455,1
Wakulla,15461,8974
Pender,16998,0
Unknown,5314,2933
Edgefield,999,0
Clarendon,6194,61
Harnett,34555,297
Leon,24519,15004
Columbus,16392,0
Haywood,23793,66
Seminole,211093,155381
Jackson,43940,1345
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,0
Escambia,152740,286
Fairfield,884,0
Hamilton,537677,5911
Clay,94814,71444
Henry,11672,0
Okeechobee,20093,19961
Santa Rosa,68740,0
Bradford,9842,9538
Dubois,2,0
Anson,5486,0
Putnam,50536,36671
Vance,20864,0
Baker,7860,6648
Jefferson,23138,7044
Yancey,652,190
Warren,85652,7
Osceola,70410,30397
Grant,3562,0
Polk,318060,127208
Cleveland,31559,3
Tippecanoe,57708,0
Broward,939274,626816
Owen,2868,0
Laurens,10047,22
Granville,18148,0
