10:44:04
country,customer total,customer out
,529,0
Sumter,102713,22359
Franklin,35478,38
Union,37825,4480
Wake,431725,714
Randolph,50691,0
Anderson,86424,227
Greenwood,25139,949
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9534
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,114
Williamsburg,6470,0
Highlands,55154,49119
Stokes,18040,1
Lincoln,20700,2
Onslow,24750,2
Columbus,16392,0
Moore,42816,280
Jennings,5381,0
Seminole,211093,136084
Spartanburg,124775,36
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21724,21226
Harrison,4497,0
Cleveland,31559,1
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,7820,7524
Haywood,23793,66
Alamance,74720,3
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,2
Polk,317968,110165
Ripley,7719,0
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,65806
Morgan,9380,0
Mitchell,5466,28
Pamlico,4070,0
Catawba,68932,10
Laurens,10047,0
Osceola,70410,26649
Leon,24519,14946
Columbia,31330,30843
Monroe,119951,28568
Chester,13976,1
Buncombe,132274,13
St. Johns,106678,89197
Georgetown,1708,0
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,8
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,3
Bartholomew,27576,0
Cabarrus,53193,3
Davie,13165,6
Orange,551123,283156
Switzerland,1082,0
Miami-dade,1124137,829031
Daviess,1526,0
Posey,1205,0
Cherokee,18147,0
Yancey,652,190
Hendricks,34543,4
Broward,939274,633691
Scotland,6016,0
Mecklenburg,448078,72
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,264376,92450
Palm Beach,742679,521012
Graham,6179,0
Jefferson,23138,4516
Vance,20864,6
Holmes,5052,9
Mccormick,19,1
Iredell,49827,1
Campbell,40722,1
Decatur,7802,0
Martin,96358,74466
Rowan,63392,5
Carteret,25089,5
Wilson,1600,0
Johnston,68975,1
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5314,2906
Oconee,10455,0
Lancaster,32192,0
Okaloosa,92569,7
Edgefield,999,0
Wayne,47553,201
Vigo,48482,1
Kershaw,5420,0
Madison,16891,5639
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,64
Duplin,12170,1
Putnam,50536,36518
Hamilton,537677,4749
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,1
Dixie,8276,7634
Cass,2907,0
Desoto,17559,16225
Pinellas,543847,298416
Saluda,4,5
Sampson,17464,0
Grant,3562,0
Flagler,58357,51363
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,195182
Marion,151521,84638
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,6807
Davidson,33863,1
Pitt,1997,0
Knox,15285,0
Taylor,12739,7362
Alachua,120568,64729
Butler,125980,42
Rush,6244,0
Hernando,94931,30408
Harnett,34555,297
Burke,21612,0
Calhoun,2029,1119
Baker,7860,7734
Florence,52312,0
Clay,94814,71110
Nassau,21867,18592
Craven,18450,0
Swain,11279,0
Nash,23348,0
Wells,205,0
Liberty,3302,2021
Caldwell,23308,0
Forsyth,175791,5
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,139
Bay,104611,1732
Hardee,9248,8612
Caswell,9064,9
Pike,2429,0
Floyd,26087,2
Brunswick,14435,107
Sullivan,6465,0
Guilford,210369,1
Lake,149938,74327
Delaware,85,0
Abbeville,2003,1
Henry,11672,1
Hoke,4929,0
Benton,451,0
Lee,289895,235057
Mcdowell,18436,0
Henderson,63585,10
Pendleton,105,0
Manatee,209422,125775
Whitley,103,0
Escambia,152740,4
Fulton,5764,0
Fairfield,884,0
Hillsborough,291190,260041
Carroll,3782,0
Washington,12658,222
Miami,2654,0
Brevard,308960,236599
Pickens,25766,0
Volusia,261351,177148
Richmond,15249,0
St. Lucie,127029,90102
Indian River,56924,47033
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,170399
Levy,19402,14988
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,25
Santa Rosa,68740,6
Okeechobee,20093,19958
Gadsden,14999,9321
Newberry,1785,0
Jackson,43940,1371
Walton,23168,78
Gaston,53643,5
Duval,441599,242380
Hendry,9738,9738
