05:41:02
country,customer total,customer out
,529,0
Sumter,102713,16843
Franklin,35478,27
Union,37825,2473
Wake,431725,653
Randolph,50691,0
Anderson,86424,50
Greenwood,25139,1
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9102
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,2043
Williamsburg,6470,85
Highlands,55154,49119
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,0
Moore,42816,0
Jennings,5381,0
Seminole,211093,135293
Spartanburg,124775,214
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21484,20616
Harrison,4497,0
Cleveland,31559,0
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,6677,6381
Haywood,23793,0
Alamance,74720,0
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,0
Polk,307453,107950
Ripley,7719,0
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,62042
Morgan,9380,0
Mitchell,5466,0
Pamlico,4070,0
Catawba,68932,0
Laurens,10047,0
Osceola,69502,28965
Leon,24519,10433
Columbia,31330,29586
Monroe,119951,50234
Chester,13976,0
Buncombe,132274,0
St. Johns,106678,83478
Georgetown,1708,0
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,0
Rutherford,27340,0
Lafayette,4033,3361
Macon,25310,7
Bartholomew,27576,0
Cabarrus,53193,0
Davie,13165,0
Orange,542380,275565
Switzerland,1082,0
Miami-dade,1124137,813506
Daviess,1526,0
Posey,1205,0
Cherokee,18147,0
Yancey,652,0
Hendricks,34543,0
Broward,939274,645423
Scotland,6016,0
Mecklenburg,448078,10
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,262101,89682
Palm Beach,742679,524250
Graham,6179,0
Jefferson,22576,3986
Vance,20864,0
Holmes,5052,2
Mccormick,19,0
Iredell,49827,0
Campbell,40722,63
Decatur,7802,0
Martin,96358,78483
Rowan,63392,0
Carteret,25089,0
Wilson,1600,0
Johnston,68975,0
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,0
Clark,37941,0
Huntington,10622,0
Unknown,5313,2707
Oconee,10455,0
Lancaster,32192,0
Okaloosa,92569,35
Edgefield,999,0
Wayne,47553,0
Vigo,48482,0
Kershaw,5420,0
Madison,16568,6176
Alexander,11887,0
Wilkes,29159,0
Halifax,2135,0
Clermont,90324,0
Duplin,12170,0
Putnam,50536,34368
Hamilton,537677,4739
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,1
Dixie,6482,5840
Cass,2907,0
Desoto,17559,15897
Pinellas,543835,300395
Saluda,4,0
Sampson,17464,1
Grant,3562,0
Flagler,58357,48211
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,194701
Marion,151521,79498
Transylvania,15660,1
Tipton,3501,0
Bladen,8812,0
Glades,3354,143
Shelby,13858,0
Wakulla,15461,3340
Davidson,33863,0
Pitt,1997,0
Knox,15285,0
Taylor,12267,7553
Alachua,120568,60151
Butler,125980,0
Rush,6244,0
Hernando,94931,30387
Harnett,34555,0
Burke,21612,0
Calhoun,1204,64
Baker,7860,7553
Florence,52312,0
Clay,94814,52042
Nassau,21867,21715
Craven,18450,0
Swain,11279,0
Nash,23348,18
Wells,205,0
Liberty,3302,1769
Caldwell,23308,0
Forsyth,175791,0
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,57
Bay,104611,334
Hardee,9248,8790
Caswell,9064,0
Pike,2429,0
Floyd,26087,0
Brunswick,14435,1
Sullivan,6465,0
Guilford,210369,0
Lake,149938,58348
Delaware,85,0
Abbeville,2003,0
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,228364
Mcdowell,18436,0
Henderson,63585,0
Pendleton,105,0
Manatee,209401,122122
Whitley,103,0
Escambia,152742,1
Fulton,5764,0
Fairfield,884,0
Hillsborough,242202,226650
Carroll,3782,0
Washington,12414,28
Miami,2654,0
Brevard,308960,263817
Pickens,25766,0
Volusia,261351,178483
Richmond,15249,0
St. Lucie,127029,91958
Indian River,56923,47728
Citrus,87665,40647
Durham,140456,1
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,169048
Levy,18183,13962
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,6
Santa Rosa,68740,0
Okeechobee,20093,19611
Gadsden,14999,3162
Newberry,1785,0
Jackson,42634,164
Walton,23162,0
Gaston,53643,0
Duval,441599,229968
Hendry,9738,9738
