18:07:48
country,customer total,customer out
Walton,23211,35
,529,0
Lafayette,4034,3879
Shelby,13858,0
Rutherford,27340,717
Clermont,90324,1
Tipton,3501,0
Monroe,119951,28570
Robeson,24105,1
Suwannee,21816,19815
Greene,7221,1
Indian River,56925,40770
Transylvania,15660,88
Dearborn,8521,0
Scott,2804,0
Davie,13165,0
Davidson,33863,0
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,272
Warrick,1466,0
Darlington,20562,156
Richmond,15249,0
Union,37825,4838
Jones,1937,0
Brevard,308960,214493
Randolph,50691,8
Gilchrist,7923,5885
Bartholomew,27576,0
Pasco,265935,156639
Manatee,209422,106752
Anderson,86424,14044
Moore,42816,1
Duplin,12170,0
Graham,6179,2
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,14201
Guilford,210369,25
Stanly,10950,0
Collier,212167,191072
Mitchell,5466,110
Highlands,55154,52597
Lee,289895,217880
Cabarrus,53193,375
Hillsborough,315934,251942
Orange,551123,305013
Liberty,3302,1175
Stokes,18040,0
Pamlico,4070,0
Craven,18450,1
Glades,3354,179
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,1660
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,105
Brown,17762,0
Halifax,2135,0
Iredell,49827,105
New Hanover,124924,95
Bladen,8812,17
Kosciusko,276,0
Miami,2654,0
Madison,16891,7198
Wilson,1600,0
Brunswick,14435,814
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,2618
Hancock,10609,0
Hernando,94931,49595
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,1
Duval,441599,238129
Rowan,63392,0
Pike,2429,0
Alachua,120576,51722
Cumberland,31706,0
Benton,451,0
Macon,25310,1123
Dixie,8742,7358
Delaware,85,0
Mccormick,19,11
Flagler,58357,48357
Vermillion,8251,0
Gulf,8433,275
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,169
Taylor,12739,6716
Columbia,31330,30391
Pitt,1997,0
Newberry,1785,440
Carroll,3782,0
Franklin,35478,1971
St. Johns,106678,68740
Miami-dade,1124137,767140
Marion,151521,102239
Huntington,10622,0
Georgetown,1708,19
Lancaster,32192,1287
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,35
Johnston,68975,0
Mcdowell,18436,6
Cherokee,18147,58
Wilkes,29159,0
Carteret,25089,0
Chester,13976,956
Harrison,4497,0
Pickens,25766,6112
Kenton,62170,0
Parke,1275,0
Buncombe,132274,1810
Calhoun,2029,721
Gadsden,14999,7777
Lake,149938,102489
Bay,106316,2606
Mecklenburg,448078,4359
Clinton,6436,0
Catawba,68932,1
Gaston,53643,715
Volusia,261351,185648
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16343
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,1
Henderson,63585,1458
Fountain,3715,1
Lincoln,20700,25
Okaloosa,92569,1
Decatur,7802,0
Daviess,1526,0
Scotland,6016,1
Fulton,5764,0
Charlotte,114552,48270
Onslow,24750,0
Highland,304,0
Spartanburg,124775,1432
Sarasota,265345,151326
St. Lucie,127029,79801
Whitley,103,0
Nassau,21867,18111
Horry,1533,0
Hendry,9738,9738
Greenville,195678,19149
Knox,15285,0
Holmes,5052,54
Surry,25245,1
Abbeville,2003,998
Forsyth,175791,5
Preble,273,0
Durham,140456,5
Hendricks,34543,0
Chatham,31535,0
Butler,125980,85
Johnson,36665,0
Sampson,17464,0
Burke,21612,4
Hardee,9248,8397
Chesterfield,10668,40
Martin,96358,67992
Citrus,87665,59859
Beaufort,4732,58
Sumter,102713,23473
Wayne,47553,1
Pinellas,543847,412182
Florence,52312,951
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,2254
Palm Beach,742679,467695
Greenwood,25139,5034
Saluda,4,7
Oconee,10455,1238
Wakulla,15461,6447
Pender,16998,0
Unknown,5314,1711
Edgefield,999,4
Clarendon,6194,17
Harnett,34555,0
Leon,24519,12857
Columbus,16392,19
Haywood,23793,217
Seminole,211093,154462
Jackson,43975,6899
Gibson,9007,0
Boone,41268,0
Dillon,10339,1
Montgomery,13047,1
Escambia,152740,52
Fairfield,884,681
Hamilton,537677,5741
Clay,94814,45915
Henry,11672,0
Okeechobee,20093,17679
Santa Rosa,68740,0
Bradford,9842,8270
Dubois,2,0
Anson,5486,44
Putnam,50536,33325
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7554
Yancey,652,111
Warren,85652,2
Osceola,70430,25155
Grant,3562,0
Polk,328238,130046
Cleveland,31559,614
Tippecanoe,57708,1
Broward,939274,595999
Owen,2868,0
Laurens,10047,3268
Granville,18148,0
