07:22:02
country,customer total,customer out
,529,0
Sumter,102713,21780
Franklin,35478,26
Union,37825,2499
Wake,431725,649
Randolph,50691,1
Anderson,86424,85
Greenwood,25139,383
Lenoir,11476,0
Chatham,31535,0
Bradford,9842,9118
Edgecombe,1364,0
Fountain,3715,0
Gulf,8433,760
Williamsburg,6470,2
Highlands,55154,49119
Stokes,18040,0
Lincoln,20700,0
Onslow,24750,0
Columbus,16392,0
Moore,42816,0
Jennings,5381,0
Seminole,211093,136439
Spartanburg,124775,2
Beaufort,4732,0
Owen,2868,0
Fayette,9528,0
Suwannee,21559,20783
Harrison,4497,0
Cleveland,31559,0
Kosciusko,276,0
Person,13358,0
Hancock,10609,0
Highland,304,0
Gilchrist,6836,6540
Haywood,23793,0
Alamance,74720,1
Horry,1533,0
Dillon,10339,0
Surry,25245,0
Warrick,1466,0
Dubois,2,0
Rockingham,45732,0
Clarendon,6194,47
Polk,311862,108133
Ripley,7719,1
Avery,1215,0
Chesterfield,10668,0
Scott,2804,0
Charlotte,114552,65516
Morgan,9380,0
Mitchell,5466,0
Pamlico,4070,0
Catawba,68932,0
Laurens,10047,0
Osceola,69896,29359
Leon,24519,13458
Columbia,31330,29506
Monroe,119951,50249
Chester,13976,0
Buncombe,132274,6
St. Johns,106678,83303
Georgetown,1708,1
Howard,41053,0
Stanly,10950,0
Yadkin,14159,0
Warren,85652,0
Rutherford,27340,0
Lafayette,4034,3362
Macon,25310,21
Bartholomew,27576,0
Cabarrus,53193,0
Davie,13165,0
Orange,545181,278366
Switzerland,1082,0
Miami-dade,1124137,815559
Daviess,1526,0
Posey,1205,0
Cherokee,18147,1
Yancey,652,0
Hendricks,34543,0
Broward,939274,639362
Scotland,6016,0
Mecklenburg,448078,223
Parke,1275,0
Pender,16998,0
Boone,41268,0
Pasco,262238,89910
Palm Beach,742679,518487
Graham,6179,0
Jefferson,22938,4348
Vance,20864,0
Holmes,5052,1
Mccormick,19,0
Iredell,49827,0
Campbell,40722,63
Decatur,7802,0
Martin,96358,77267
Rowan,63392,1
Carteret,25089,0
Wilson,1600,0
Johnston,68975,2
Brown,17762,0
Anson,5486,0
Vermillion,8251,0
Crawford,4481,1
Clark,37941,0
Huntington,10622,0
Unknown,5314,2723
Oconee,10455,0
Lancaster,32192,0
Okaloosa,92569,9
Edgefield,999,0
Wayne,47553,0
Vigo,48482,0
Kershaw,5420,0
Madison,16891,6308
Alexander,11887,0
Wilkes,29159,1
Halifax,2135,0
Clermont,90324,0
Duplin,12170,1
Putnam,50536,34749
Hamilton,537677,4741
Wabash,11366,0
Lawrence,16988,0
Darlington,20562,0
Dixie,7251,6609
Cass,2907,0
Desoto,17559,15929
Pinellas,543847,298391
Saluda,4,0
Sampson,17464,1
Grant,3562,0
Flagler,58357,48528
Dearborn,8521,0
Cumberland,31706,0
Collier,212167,194757
Marion,151521,84548
Transylvania,15660,0
Tipton,3501,0
Bladen,8812,1
Glades,3354,143
Shelby,13858,0
Wakulla,15461,5475
Davidson,33863,0
Pitt,1997,0
Knox,15285,0
Taylor,12428,7714
Alachua,120568,60363
Butler,125980,0
Rush,6244,0
Hernando,94931,30408
Harnett,34555,296
Burke,21612,0
Calhoun,1915,951
Baker,7860,7433
Florence,52312,338
Clay,94814,52891
Nassau,21867,21866
Craven,18450,0
Swain,11279,0
Nash,23348,1
Wells,205,0
Liberty,3302,1832
Caldwell,23308,0
Forsyth,175791,2
Marlboro,4474,0
Greene,7221,0
Preble,273,0
Gibson,9007,0
Clinton,6436,0
New Hanover,124924,2
Bay,104611,366
Hardee,9248,8790
Caswell,9064,0
Pike,2429,0
Floyd,26087,0
Brunswick,14435,105
Sullivan,6465,0
Guilford,210369,0
Lake,149938,74327
Delaware,85,0
Abbeville,2003,0
Henry,11672,0
Hoke,4929,0
Benton,451,0
Lee,289895,232864
Mcdowell,18436,0
Henderson,63585,0
Pendleton,105,0
Manatee,209402,126407
Whitley,103,0
Escambia,152740,4
Fulton,5764,0
Fairfield,884,0
Hillsborough,249315,227911
Carroll,3782,0
Washington,12414,78
Miami,2654,0
Brevard,308960,259225
Pickens,25766,0
Volusia,261351,176835
Richmond,15249,0
St. Lucie,127029,90697
Indian River,56923,47754
Citrus,87665,40649
Durham,140456,0
Tippecanoe,57708,0
Granville,18148,0
Johnson,36665,0
Montgomery,13047,0
Sarasota,265342,162305
Levy,18700,14562
York,34467,0
Jones,1937,0
Kenton,62170,0
Robeson,24105,0
Greenville,195678,8
Santa Rosa,68740,0
Okeechobee,20093,19666
Gadsden,14999,6483
Newberry,1785,0
Jackson,42881,708
Walton,23162,2
Gaston,53643,4
Duval,441599,257528
Hendry,9738,9738
