13:55:18
country,customer total,customer out
Walton,23210,58
,529,0
Lafayette,4034,3883
Shelby,13858,0
Rutherford,27340,1
Clermont,90324,1
Tipton,3501,0
Monroe,119951,28574
Robeson,24105,0
Suwannee,21780,21611
Greene,7221,0
Indian River,56924,42622
Transylvania,15660,0
Dearborn,8521,0
Scott,2804,0
Davie,13165,5
Davidson,33863,1
Yadkin,14159,0
Vigo,48482,0
Caldwell,23308,1
Warrick,1466,2
Darlington,20562,56
Richmond,15249,0
Union,37825,4875
Jones,1937,0
Brevard,308960,222883
Randolph,50691,3
Gilchrist,7923,7416
Bartholomew,27576,0
Pasco,264460,114819
Manatee,209422,115766
Anderson,86424,5193
Moore,42816,22
Duplin,12170,1
Graham,6179,0
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,14193
Guilford,210369,0
Stanly,10950,0
Collier,212167,190537
Mitchell,5466,28
Highlands,55154,52526
Lee,289895,224063
Cabarrus,53193,0
Hillsborough,310689,252251
Orange,551123,331187
Liberty,3302,1677
Stokes,18040,1
Pamlico,4070,0
Craven,18450,0
Glades,3354,143
Avery,1215,0
Lawrence,16988,0
Williamsburg,6470,14
Alexander,11887,0
Wabash,11366,0
Marlboro,4474,0
Brown,17762,0
Halifax,2135,0
Iredell,49827,2
New Hanover,124924,335
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7815
Wilson,1600,0
Brunswick,14435,5
Ripley,7719,0
Howard,41053,1
Wake,431725,24
York,34467,0
Hancock,10609,0
Hernando,94931,31796
Crawford,4481,0
Floyd,26087,1
Rockingham,45732,1
Morgan,9380,0
Duval,441599,245231
Rowan,63392,0
Pike,2429,0
Alachua,120576,66321
Cumberland,31706,0
Benton,451,0
Macon,25310,0
Dixie,8742,8338
Delaware,85,0
Mccormick,19,11
Flagler,58357,48246
Vermillion,8251,0
Gulf,8433,966
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,12832,525
Taylor,12739,9900
Columbia,31330,30393
Pitt,1997,0
Newberry,1785,5
Carroll,3782,0
Franklin,35478,1965
St. Johns,106678,83863
Miami-dade,1124137,812629
Marion,151521,100513
Huntington,10622,0
Georgetown,1708,2
Lancaster,32192,200
Clark,37941,0
Rush,6244,0
Jennings,5381,0
Swain,11279,0
Johnston,68975,0
Mcdowell,18436,0
Cherokee,18147,0
Wilkes,29159,4
Carteret,25089,9
Chester,13976,46
Harrison,4497,0
Pickens,25766,79
Kenton,62170,1
Parke,1275,0
Buncombe,132274,31
Calhoun,2029,1092
Gadsden,14999,9119
Lake,149938,101599
Bay,104611,397
Mecklenburg,448078,1458
Clinton,6436,0
Catawba,68932,0
Gaston,53643,9
Volusia,261351,188814
Cass,2907,0
Edgecombe,1364,0
Levy,19402,16796
Lenoir,11476,0
Person,13358,1
Campbell,40722,0
Alamance,74720,6
Henderson,63585,95
Fountain,3715,0
Lincoln,20700,52
Okaloosa,92569,11
Decatur,7802,6
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,60915
Onslow,24750,0
Highland,304,0
Spartanburg,124775,56
Sarasota,265345,165213
St. Lucie,127029,85947
Whitley,103,0
Nassau,21867,20768
Horry,1533,0
Hendry,9738,9738
Greenville,195678,1043
Knox,15285,0
Holmes,5052,188
Surry,25245,0
Abbeville,2003,252
Forsyth,175791,9
Preble,273,0
Durham,140456,0
Hendricks,34543,9
Chatham,31535,1
Butler,125980,41
Johnson,36665,0
Sampson,17464,0
Burke,21612,0
Hardee,9248,8380
Chesterfield,10668,180
Martin,96358,70653
Citrus,87665,51548
Beaufort,4732,0
Sumter,102713,22949
Wayne,47553,3
Pinellas,543847,405232
Florence,52312,5
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,12
Palm Beach,742679,498564
Greenwood,25139,2800
Saluda,4,5
Oconee,10455,2
Wakulla,15461,7363
Pender,16998,39
Unknown,5314,1650
Edgefield,999,0
Clarendon,6194,20
Harnett,34555,297
Leon,24519,14909
Columbus,16392,1
Haywood,23793,0
Seminole,211093,155591
Jackson,43940,1337
Gibson,9007,0
Boone,41268,0
Dillon,10339,0
Montgomery,13047,1
Escambia,152740,178
Fairfield,884,1
Hamilton,537677,5658
Clay,94814,69329
Henry,11672,0
Okeechobee,20093,19823
Santa Rosa,68740,0
Bradford,9842,9434
Dubois,2,0
Anson,5486,0
Putnam,50536,36643
Vance,20864,0
Baker,7860,6730
Jefferson,23138,7044
Yancey,652,190
Warren,85652,7
Osceola,70410,28856
Grant,3562,0
Polk,320148,137370
Cleveland,31559,10
Tippecanoe,57708,1
Broward,939274,615845
Owen,2868,0
Laurens,10047,185
Granville,18148,0
