08:15:56
country,customer total,customer out
Walton,23211,0
,529,0
Lafayette,4034,3882
Shelby,13858,0
Rutherford,27340,2526
Clermont,90324,71
Tipton,3501,0
Monroe,119951,55568
Robeson,24105,253
Suwannee,21816,17793
Greene,7221,0
Indian River,56925,36594
Transylvania,15660,150
Dearborn,8521,0
Scott,2804,0
Davie,13165,3
Davidson,33863,62
Yadkin,14159,0
Vigo,48482,2
Caldwell,23308,42
Warrick,1466,0
Darlington,20562,102
Richmond,15249,22
Union,37825,5052
Jones,1937,0
Brevard,308960,197137
Randolph,50691,89
Gilchrist,7923,6070
Bartholomew,27576,0
Pasco,266106,145233
Manatee,209422,83186
Anderson,86424,26758
Moore,42816,6
Duplin,12170,1
Graham,6179,141
Hoke,4929,0
Sullivan,6465,0
Fayette,9528,0
Caswell,9064,0
Desoto,17614,10305
Guilford,210369,19
Stanly,10950,27
Collier,212167,183779
Mitchell,5466,1124
Highlands,55154,52516
Lee,289895,210109
Cabarrus,53193,564
Hillsborough,321417,214331
Orange,551123,275774
Liberty,3302,334
Stokes,18040,1
Pamlico,4070,1
Craven,18450,0
Glades,3354,179
Avery,1215,146
Lawrence,16988,0
Williamsburg,6470,1074
Alexander,11887,19
Wabash,11366,0
Marlboro,4474,69
Brown,17762,0
Halifax,2135,0
Iredell,49827,98
New Hanover,124924,302
Bladen,8812,0
Kosciusko,276,0
Miami,2654,0
Madison,16891,7473
Wilson,1600,0
Brunswick,14435,23
Ripley,7719,0
Howard,41053,0
Wake,431725,0
York,34467,1517
Hancock,10609,0
Hernando,94931,48491
Crawford,4481,0
Floyd,26087,0
Rockingham,45732,0
Morgan,9380,0
Duval,441577,160610
Rowan,63392,388
Pike,2429,0
Alachua,120576,36835
Cumberland,31706,12
Benton,451,0
Macon,25310,6792
Dixie,8742,7347
Delaware,85,0
Mccormick,19,11
Flagler,58357,39806
Vermillion,8251,0
Gulf,8433,309
Wells,205,0
Posey,1205,0
Pendleton,105,0
Washington,13393,0
Taylor,12739,9544
Columbia,31602,24898
Pitt,1997,0
Newberry,1785,210
Carroll,3782,0
Franklin,35478,1894
St. Johns,106677,48171
Miami-dade,1124137,658318
Marion,151521,99479
Huntington,10622,0
Georgetown,1708,14
Lancaster,32192,1367
Clark,37941,0
Rush,6244,0
Jennings,5381,11
Swain,11279,525
Johnston,68975,0
Mcdowell,18436,200
Cherokee,18147,154
Wilkes,29159,4
Carteret,25089,0
Chester,13976,2163
Harrison,4497,0
Pickens,25766,15123
Kenton,62170,1
Parke,1275,0
Buncombe,132274,18356
Calhoun,2029,8
Gadsden,14999,7040
Lake,149938,95308
Bay,106316,9
Mecklenburg,448078,9238
Clinton,6436,0
Catawba,68932,154
Gaston,53643,1384
Volusia,261351,176506
Cass,2907,0
Edgecombe,1364,0
Levy,19402,14286
Lenoir,11476,0
Person,13358,0
Campbell,40722,0
Alamance,74720,0
Henderson,63585,6035
Fountain,3715,0
Lincoln,20700,191
Okaloosa,92569,23
Decatur,7802,0
Daviess,1526,0
Scotland,6016,0
Fulton,5764,0
Charlotte,114552,44507
Onslow,24750,0
Highland,304,0
Spartanburg,124775,2913
Sarasota,265345,130122
St. Lucie,127029,56200
Whitley,103,0
Nassau,21867,13441
Horry,1533,0
Hendry,9738,8693
Greenville,195678,32859
Knox,15285,0
Holmes,5052,32
Surry,25245,280
Abbeville,2003,939
Forsyth,175791,152
Preble,273,0
Durham,140456,48
Hendricks,34543,0
Chatham,31535,1
Butler,125980,0
Johnson,36665,0
Sampson,17464,0
Burke,21612,299
Hardee,9248,6991
Chesterfield,10668,116
Martin,96358,53867
Citrus,87665,62332
Beaufort,4732,0
Sumter,102713,20402
Wayne,47553,138
Pinellas,543847,417551
Florence,52312,940
Nash,23348,0
Switzerland,1082,0
Kershaw,5420,28
Palm Beach,742679,384495
Greenwood,25139,5818
Saluda,4,7
Oconee,10455,4904
Wakulla,15461,5637
Pender,16998,2
Unknown,5314,857
Edgefield,999,2
Clarendon,6194,15
Harnett,34555,1
Leon,24518,7386
Columbus,16392,1
Haywood,23793,856
Seminole,211093,146409
Jackson,43975,9194
Gibson,9007,0
Boone,41268,1
Dillon,10339,73
Montgomery,13047,59
Escambia,152740,8
Fairfield,884,6
Hamilton,537677,5118
Clay,94813,39668
Henry,11672,0
Okeechobee,20093,14669
Santa Rosa,68740,5
Bradford,9842,6984
Dubois,2,0
Anson,5486,0
Putnam,50536,29312
Vance,20864,0
Baker,7860,4656
Jefferson,23138,7371
Yancey,652,131
Warren,85652,0
Osceola,70514,20021
Grant,3562,0
Polk,335391,121527
Cleveland,31559,2024
Tippecanoe,57708,0
Broward,939274,486273
Owen,2868,0
Laurens,10047,3468
Granville,18148,0
